ImageId,class_1,class_2,class_3,class_4,no_defect,positive_class_count,combination
0002cc93b.jpg,True,False,False,False,False,1,1
00031f466.jpg,False,False,False,False,True,0,none
000418bfc.jpg,False,False,False,False,True,0,none
000789191.jpg,False,False,False,False,True,0,none
0007a71bf.jpg,False,False,True,False,False,1,3
000a4bcdd.jpg,True,False,False,False,False,1,1
000f6bf48.jpg,False,False,False,True,False,1,4
0014fce06.jpg,False,False,True,False,False,1,3
001982b08.jpg,False,False,False,False,True,0,none
001d1b355.jpg,False,False,False,False,True,0,none
001d3d093.jpg,False,False,False,False,True,0,none
0025bde0c.jpg,False,False,True,True,False,2,3+4
002af848d.jpg,False,False,False,True,False,1,4
002e73b3c.jpg,False,False,False,False,True,0,none
002fc4e19.jpg,True,True,False,False,False,2,1+2
0030401a5.jpg,False,False,False,True,False,1,4
003ac9d2a.jpg,False,False,False,False,True,0,none
0046839bd.jpg,False,False,True,False,False,1,3
005b92582.jpg,False,False,False,False,True,0,none
005d86c25.jpg,False,False,True,False,False,1,3
005da33cf.jpg,False,False,False,False,True,0,none
005dbf0e0.jpg,False,False,False,False,True,0,none
005f02e20.jpg,False,False,True,False,False,1,3
005f19695.jpg,False,False,True,False,False,1,3
006a4402e.jpg,False,False,False,False,True,0,none
0074d81d0.jpg,False,False,False,False,True,0,none
00762aa3b.jpg,False,False,False,False,True,0,none
007f28bba.jpg,False,False,False,False,True,0,none
008479d08.jpg,False,False,False,False,True,0,none
008621629.jpg,False,False,False,True,False,1,4
0088260da.jpg,False,False,True,False,False,1,3
00894274f.jpg,False,False,False,False,True,0,none
008b9acf5.jpg,False,False,False,False,True,0,none
008d0f87b.jpg,False,False,True,False,False,1,3
008ef3d74.jpg,True,True,False,False,False,2,1+2
0095cd374.jpg,False,False,True,False,False,1,3
009b12ccc.jpg,False,False,False,False,True,0,none
00ac8372f.jpg,True,True,False,False,False,2,1+2
00af2671f.jpg,False,False,True,False,False,1,3
00b989e78.jpg,False,False,False,False,True,0,none
00bc01bfe.jpg,True,False,False,False,False,1,1
00bf8497a.jpg,False,False,True,False,False,1,3
00c24a74c.jpg,False,False,False,False,True,0,none
00c6060db.jpg,False,False,False,False,True,0,none
00c88fed0.jpg,True,True,False,False,False,2,1+2
00cdb56a0.jpg,False,False,True,False,False,1,3
00d639396.jpg,False,False,True,False,False,1,3
00d7ae946.jpg,False,False,False,False,True,0,none
00dcb19f3.jpg,False,False,False,False,True,0,none
00ded7837.jpg,False,False,False,False,True,0,none
00e0398ad.jpg,False,False,True,False,False,1,3
